152	164	6973	7289	635	1182	51694	53511
5	45	63	113	6	114	143	263
0.0329	0.2744	0.009	0.0155	0.0094	0.0964	0.0028	0.0049
75	1567	7775	9417	205	9974	59229	69408
3	4	187	194	8	14	481	503
0.04	0.0026	0.0241	0.0206	0.039	0.0014	0.0081	0.0072
415	417	4436	5268	1870	2192	41424	45486
33	141	206	380	65	493	617	1175
0.0795	0.3381	0.0464	0.0721	0.0348	0.2249	0.0149	0.0258
152	164	6973	7289	635	1182	51694	53511
5	44	69	118	7	121	159	287
0.0329	0.2683	0.0099	0.0162	0.011	0.1024	0.0031	0.0054
18	0	2274	2292	23	0	24752	24775
2	0	15	17	6	0	28	34
0.1111	0	0.0066	0.0074	0.2609	0	0.0011	0.0014
610	1414	4734	6758	2679	8336	42040	53055
14	198	143	355	49	703	388	1140
0.023	0.14	0.0302	0.0525	0.0183	0.0843	0.0092	0.0215
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
55	239	1616	1910	218	4363	17823	22404
22	0	54	76	114	0	135	249
0.4	0	0.0334	0.0398	0.5229	0	0.0076	0.0111
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
94	1875	4684	6653	362	10751	39285	50398
1	6	17	24	1	15	30	46
0.0106	0.0032	0.0036	0.0036	0.0028	0.0014	0.0008	0.0009
173	86	2271	2530	983	408	25239	26630
24	7	242	273	95	19	1227	1341
0.1387	0.0814	0.1066	0.1079	0.0966	0.0466	0.0486	0.0504
149	4	830	983	712	33	12047	12792
45	3	93	141	184	23	271	478
0.302	0.75	0.112	0.1434	0.2584	0.697	0.0225	0.0374
54	67	2632	2753	158	503	27403	28064
13	19	71	103	28	141	182	351
0.2407	0.2836	0.027	0.0374	0.1772	0.2803	0.0066	0.0125
914	2621	5132	8667	4742	15832	41331	61905
1	51	43	95	3	90	70	163
0.0011	0.0195	0.0084	0.011	0.0006	0.0057	0.0017	0.0026
69	338	3237	3644	368	2024	28012	30404
29	61	286	376	84	252	907	1243
0.4203	0.1805	0.0884	0.1032	0.2283	0.1245	0.0324	0.0409
58	513	1859	2430	268	3721	19520	23509
20	0	221	241	84	0	835	919
0.3448	0	0.1189	0.0992	0.3134	0	0.0428	0.0391
19	0	2272	2291	27	0	24742	24769
3	0	8	11	8	0	17	25
0.1579	0	0.0035	0.0048	0.2963	0	0.0007	0.001
124	63	7597	7784	425	702	57441	58568
7	2	20	29	11	3	36	50
0.0565	0.0317	0.0026	0.0037	0.0259	0.0043	0.0006	0.0009
8	128	987	1123	9	1242	13073	14324
1	5	128	134	2	7	472	481
0.125	0.0391	0.1297	0.1193	0.2222	0.0056	0.0361	0.0336
7	136	967	1110	8	1236	12882	14126
1	6	121	128	2	8	439	449
0.1429	0.0441	0.1251	0.1153	0.25	0.0065	0.0341	0.0318
70	1028	4065	5163	252	5425	39709	45386
31	139	361	531	123	447	1595	2165
0.4429	0.1352	0.0888	0.1028	0.4881	0.0824	0.0402	0.0477
158	290	7382	7830	757	2015	56288	59060
12	11	261	284	32	63	849	944
0.0759	0.0379	0.0354	0.0363	0.0423	0.0313	0.0151	0.016
734	1371	4939	7044	4164	10218	42903	57285
9	3	26	38	19	8	51	78
0.0123	0.0022	0.0053	0.0054	0.0046	0.0008	0.0012	0.0014
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	458	484
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0134	0.0116
25	17	3891	3933	116	90	30921	31127
3	0	454	457	10	0	1288	1298
0.12	0	0.1167	0.1162	0.0862	0	0.0417	0.0417
14	0	1248	1262	21	0	14745	14766
3	0	14	17	8	0	26	34
0.2143	0	0.0112	0.0135	0.381	0	0.0018	0.0023
745	1894	5019	7658	2275	11385	40683	54343
1	48	130	179	2	90	341	433
0.0013	0.0253	0.0259	0.0234	0.0009	0.0079	0.0084	0.008
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
173	271	2589	3033	764	1844	27941	30549
35	32	380	447	110	99	1461	1670
0.2023	0.1181	0.1468	0.1474	0.144	0.0537	0.0523	0.0547
96	48	2410	2554	432	349	20924	21705
5	0	62	67	7	0	131	138
0.0521	0	0.0257	0.0262	0.0162	0	0.0063	0.0064
7	5	899	911	8	11	11960	11979
1	3	114	118	2	6	488	496
0.1429	0.6	0.1268	0.1295	0.25	0.5455	0.0408	0.0414
10	0	632	642	16	0	8919	8935
3	0	8	11	7	0	20	27
0.3	0	0.0127	0.0171	0.4375	0	0.0022	0.003
71	407	1986	2464	314	3591	21747	25652
5	20	21	46	10	38	38	86
0.0704	0.0491	0.0106	0.0187	0.0318	0.0106	0.0017	0.0034
1	3371	3747	7119	2	17791	36050	53843
1	139	88	228	1	364	211	576
1	0.0412	0.0235	0.032	0.5	0.0205	0.0059	0.0107
7	100	964	1071	8	972	12682	13662
1	2	93	96	2	2	321	325
0.1429	0.02	0.0965	0.0896	0.25	0.0021	0.0253	0.0238
728	390	5365	6483	4453	2446	43113	50012
60	66	245	371	207	202	889	1298
0.0824	0.1692	0.0457	0.0572	0.0465	0.0826	0.0206	0.026
17	0	724	741	47	0	10290	10337
6	0	22	28	17	0	55	72
0.3529	0	0.0304	0.0378	0.3617	0	0.0053	0.007
74	0	2049	2123	287	0	20474	20761
30	0	228	258	111	0	935	1046
0.4054	0	0.1113	0.1215	0.3868	0	0.0457	0.0504
16	605	2355	2976	18	4374	23525	27917
1	78	164	243	2	342	657	1001
0.0625	0.1289	0.0696	0.0817	0.1111	0.0782	0.0279	0.0359
20	0	1643	1663	37	0	19138	19175
5	0	11	16	13	0	30	43
0.25	0	0.0067	0.0096	0.3514	0	0.0016	0.0022
14	0	1631	1645	28	0	18004	18032
3	0	136	139	6	0	408	414
0.2143	0	0.0834	0.0845	0.2143	0	0.0227	0.023
35	0	722	757	160	0	10675	10835
17	0	38	55	56	0	101	157
0.4857	0	0.0526	0.0727	0.35	0	0.0095	0.0145
26	0	1955	1981	106	0	21572	21678
5	0	241	246	14	0	681	695
0.1923	0	0.1233	0.1242	0.1321	0	0.0316	0.0321
24	0	1657	1681	53	0	19301	19354
9	0	80	89	24	0	333	357
0.375	0	0.0483	0.0529	0.4528	0	0.0173	0.0184
7	0	918	925	8	0	12121	12129
1	0	106	107	2	0	445	447
0.1429	0	0.1155	0.1157	0.25	0	0.0367	0.0369
22	0	1632	1654	33	0	18992	19025
8	0	2	10	10	0	5	15
0.3636	0	0.0012	0.006	0.303	0	0.0003	0.0008
68	395	2216	2679	562	2245	24183	26990
17	34	216	267	54	105	866	1025
0.25	0.0861	0.0975	0.0997	0.0961	0.0468	0.0358	0.038
9	109	964	1082	10	978	12889	13877
1	5	93	99	2	10	325	337
0.1111	0.0459	0.0965	0.0915	0.2	0.0102	0.0252	0.0243
7	166	1111	1284	8	1511	13687	15206
1	18	134	153	2	76	500	578
0.1429	0.1084	0.1206	0.1192	0.25	0.0503	0.0365	0.038
22	14	1619	1655	58	73	18830	18961
7	5	78	90	21	29	325	375
0.3182	0.3571	0.0482	0.0544	0.3621	0.3973	0.0173	0.0198
7	162	2528	2697	8	1368	25083	26459
1	6	105	112	2	17	420	439
0.1429	0.037	0.0415	0.0415	0.25	0.0124	0.0167	0.0166
187	2204	4855	7246	963	15839	41665	58467
2	64	64	130	3	262	157	422
0.0107	0.029	0.0132	0.0179	0.0031	0.0165	0.0038	0.0072
64	0	1758	1822	279	0	19869	20148
24	0	88	112	128	0	347	475
0.375	0	0.0501	0.0615	0.4588	0	0.0175	0.0236
81	127	2227	2435	347	1145	23079	24571
39	62	94	195	100	320	249	669
0.4815	0.4882	0.0422	0.0801	0.2882	0.2795	0.0108	0.0272
7	136	981	1124	8	1236	12852	14096
1	5	95	101	2	7	325	334
0.1429	0.0368	0.0968	0.0899	0.25	0.0057	0.0253	0.0237
76	69	2303	2448	421	482	27165	28068
24	10	305	339	128	25	1233	1386
0.3158	0.1449	0.1324	0.1385	0.304	0.0519	0.0454	0.0494
17	0	2072	2089	30	0	22519	22549
2	0	6	8	5	0	16	21
0.1176	0	0.0029	0.0038	0.1667	0	0.0007	0.0009
34	0	1977	2011	74	0	21712	21786
10	0	230	240	19	0	853	872
0.2941	0	0.1163	0.1193	0.2568	0	0.0393	0.04
19	0	1091	1110	47	0	13430	13477
6	0	172	178	21	0	633	654
0.3158	0	0.1577	0.1604	0.4468	0	0.0471	0.0485
74	0	2110	2184	307	0	22959	23266
34	0	275	309	110	0	1057	1167
0.4595	0	0.1303	0.1415	0.3583	0	0.046	0.0502
41	11	1645	1697	155	49	18059	18263
12	10	203	225	33	30	611	674
0.2927	0.9091	0.1234	0.1326	0.2129	0.6122	0.0338	0.0369
17	0	2235	2252	19	0	23665	23684
1	0	216	217	2	0	812	814
0.0588	0	0.0966	0.0964	0.1053	0	0.0343	0.0344
9	140	1790	1939	10	1264	19620	20894
1	5	111	117	2	13	391	406
0.1111	0.0357	0.062	0.0603	0.2	0.0103	0.0199	0.0194
32	431	7957	8420	97	2686	58591	61374
13	134	422	569	50	551	1340	1941
0.4062	0.3109	0.053	0.0676	0.5155	0.2051	0.0229	0.0316
8	106	1170	1284	9	962	14392	15363
1	2	77	80	2	2	257	261
0.125	0.0189	0.0658	0.0623	0.2222	0.0021	0.0179	0.017
11	106	1776	1893	12	962	19187	20161
1	4	209	214	2	9	782	793
0.0909	0.0377	0.1177	0.113	0.1667	0.0094	0.0408	0.0393
7	128	951	1086	9	1242	12815	14066
1	5	91	97	3	7	308	318
0.1429	0.0391	0.0957	0.0893	0.3333	0.0056	0.024	0.0226
49	5	1386	1440	186	31	16250	16467
