['filename', 'com.google.Tocom.google.', 'com.google.Toxml.', 'com.google.Toapache.', 'com.google.Tojavax.', 'com.google.Tojava.', 'com.google.Toandroid.', 'com.google.Tojson.', 'com.google.Todom.', 'com.google.Toselfdefined', 'com.google.Toobfuscated', 'xml.Tocom.google.', 'xml.Toxml.', 'xml.Toapache.', 'xml.Tojavax.', 'xml.Tojava.', 'xml.Toandroid.', 'xml.Tojson.', 'xml.Todom.', 'xml.Toselfdefined', 'xml.Toobfuscated', 'apache.Tocom.google.', 'apache.Toxml.', 'apache.Toapache.', 'apache.Tojavax.', 'apache.Tojava.', 'apache.Toandroid.', 'apache.Tojson.', 'apache.Todom.', 'apache.Toselfdefined', 'apache.Toobfuscated', 'javax.Tocom.google.', 'javax.Toxml.', 'javax.Toapache.', 'javax.Tojavax.', 'javax.Tojava.', 'javax.Toandroid.', 'javax.Tojson.', 'javax.Todom.', 'javax.Toselfdefined', 'javax.Toobfuscated', 'java.Tocom.google.', 'java.Toxml.', 'java.Toapache.', 'java.Tojavax.', 'java.Tojava.', 'java.Toandroid.', 'java.Tojson.', 'java.Todom.', 'java.Toselfdefined', 'java.Toobfuscated', 'android.Tocom.google.', 'android.Toxml.', 'android.Toapache.', 'android.Tojavax.', 'android.Tojava.', 'android.Toandroid.', 'android.Tojson.', 'android.Todom.', 'android.Toselfdefined', 'android.Toobfuscated', 'json.Tocom.google.', 'json.Toxml.', 'json.Toapache.', 'json.Tojavax.', 'json.Tojava.', 'json.Toandroid.', 'json.Tojson.', 'json.Todom.', 'json.Toselfdefined', 'json.Toobfuscated', 'dom.Tocom.google.', 'dom.Toxml.', 'dom.Toapache.', 'dom.Tojavax.', 'dom.Tojava.', 'dom.Toandroid.', 'dom.Tojson.', 'dom.Todom.', 'dom.Toselfdefined', 'dom.Toobfuscated', 'selfdefinedTocom.google.', 'selfdefinedToxml.', 'selfdefinedToapache.', 'selfdefinedTojavax.', 'selfdefinedTojava.', 'selfdefinedToandroid.', 'selfdefinedTojson.', 'selfdefinedTodom.', 'selfdefinedToselfdefined', 'selfdefinedToobfuscated', 'obfuscatedTocom.google.', 'obfuscatedToxml.', 'obfuscatedToapache.', 'obfuscatedTojavax.', 'obfuscatedTojava.', 'obfuscatedToandroid.', 'obfuscatedTojson.', 'obfuscatedTodom.', 'obfuscatedToselfdefined', 'obfuscatedToobfuscated']
['71AB3CDE51B1377B03A18C7DE4A3716A2346F0BC596D05D5C915DB6DF6845D04.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38867924528301889, 0.52830188679245282, 0.0, 0.0, 0.0, 0.083018867924528297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43989071038251365, 0.17622950819672131, 0.0, 0.0, 0.33060109289617484, 0.053278688524590161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47107438016528924, 0.0, 0.0, 0.46280991735537191, 0.066115702479338845]
['F4A50E444576B6C974F52F3D996721B659161C44A248BBE4AAC73743BE992139.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99159663865546221, 0.0, 0.0, 0.0, 0.0, 0.0084033613445378148, 0.0, 0.0, 0.0, 0.0, 0.46511627906976744, 0.44186046511627908, 0.0, 0.0, 0.0, 0.093023255813953487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00048030739673390969, 0.40297790585975024, 0.15129682997118155, 0.0, 0.0, 0.41402497598463017, 0.031219980787704129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2978723404255319, 0.0, 0.0, 0.63829787234042556, 0.063829787234042548]
['860172ECE2DC4E4850BF6649F894071A3EF7AD40E9F90B54FD39BB02FB9E6F6B.apk.txt', 0.47605633802816899, 0.0, 0.0, 0.0, 0.38309859154929576, 0.084507042253521125, 0.0, 0.0, 0.0028169014084507044, 0.053521126760563378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027027027027027029, 0.97297297297297303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99115044247787609, 0.0, 0.0, 0.0, 0.0, 0.0088495575221238937, 0.0, 0.0, 0.0, 0.0, 0.73471223021582732, 0.22661870503597123, 0.0, 0.0, 0.0, 0.038669064748201441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027450980392156862, 0.0, 0.0, 0.0047329276538201487, 0.41676808654496283, 0.1922920892494929, 0.0, 0.0, 0.27897227856659906, 0.079783637592968221, 0.024691358024691357, 0.0, 0.0, 0.0, 0.19135802469135801, 0.34259259259259262, 0.0, 0.0, 0.19753086419753085, 0.24382716049382716]
['23CD7334C1A14835257174564A13E5B5204FDEAFFBFA1FD347CD2B7ACAF31DD5.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['6D6D6879D94F1C75D30598AB35AB5BC305CB8FC23CB1507F483971C424DB18FF.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44021739130434784, 0.50543478260869568, 0.0, 0.0, 0.0, 0.05434782608695652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42665289256198347, 0.13429752066115702, 0.0, 0.0, 0.41838842975206614, 0.020661157024793389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34999999999999998, 0.0, 0.0, 0.57499999999999996, 0.074999999999999997]
['D50F6A88548A75DA52611585AAE1BA4D6BB8A814945B3AEA36E5090F48E9CFEE.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49710982658959535, 0.42196531791907516, 0.0, 0.0, 0.0, 0.080924855491329481, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00050864699898270599, 0.38555442522889116, 0.20244150559511698, 0.0, 0.0, 0.35503560528992878, 0.056459816887080364, 0.0, 0.0, 0.0, 0.0, 0.088888888888888892, 0.40444444444444444, 0.0, 0.0, 0.41333333333333333, 0.093333333333333338]
['22C4C0C871DD0FB0D420C8B5283446232377CACEE3140B98EAFEF0797C9807E3.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99425287356321834, 0.0, 0.0, 0.0, 0.0, 0.0057471264367816091, 0.0, 0.0, 0.0, 0.0, 0.60233918128654973, 0.38596491228070173, 0.0, 0.0, 0.0, 0.011695906432748537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.57423795476892825, 0.033431661750245818, 0.0, 0.0, 0.33529990167158308, 0.057030481809242868, 0.0, 0.0, 0.0, 0.0, 0.45761245674740486, 0.19377162629757785, 0.0, 0.0, 0.067474048442906581, 0.2811418685121107]
['D64B8D6641DC5E5A23ECDA4DFFDED12F5CCD3D3896716D3AA6793ADE37790CF9.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5545023696682464, 0.38862559241706163, 0.0, 0.0, 0.0, 0.056872037914691941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39346811819595645, 0.35458786936236392, 0.0, 0.0, 0.20373250388802489, 0.04821150855365474, 0.0, 0.0, 0.0, 0.0, 0.039473684210526314, 0.34210526315789475, 0.0, 0.0, 0.47368421052631576, 0.14473684210526316]
['2FD961CABEC3F652A3B48AF3E26FB131AB99352881A465AD651669C22542662E.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99425287356321834, 0.0, 0.0, 0.0, 0.0, 0.0057471264367816091, 0.0, 0.0, 0.0, 0.0, 0.60233918128654973, 0.38596491228070173, 0.0, 0.0, 0.0, 0.011695906432748537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.57423795476892825, 0.033431661750245818, 0.0, 0.0, 0.33529990167158308, 0.057030481809242868, 0.0, 0.0, 0.0, 0.0, 0.45761245674740486, 0.19377162629757785, 0.0, 0.0, 0.067474048442906581, 0.2811418685121107]
['68AC03F1CEB3748110D88B48F06D144DC95F94E981753E5F7A07F3609AC990DD.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99735449735449733, 0.0, 0.0, 0.0, 0.0, 0.0026455026455026454, 0.0, 0.0, 0.0, 0.0, 0.42384105960264901, 0.48344370860927155, 0.0, 0.0, 0.0, 0.092715231788079472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.56260779579165232, 0.11555708865125905, 0.0, 0.0, 0.29665401862711277, 0.025181096929975853, 0.0, 0.0, 0.0, 0.0, 0.019559902200488997, 0.27628361858190709, 0.0, 0.0, 0.61124694376528121, 0.092909535452322736]
