['filename', 'com.google.Tocom.google.', 'com.google.Toxml.', 'com.google.Toapache.', 'com.google.Tojavax.', 'com.google.Tojava.', 'com.google.Toandroid.', 'com.google.Tojson.', 'com.google.Todom.', 'com.google.Toselfdefined', 'com.google.Toobfuscated', 'xml.Tocom.google.', 'xml.Toxml.', 'xml.Toapache.', 'xml.Tojavax.', 'xml.Tojava.', 'xml.Toandroid.', 'xml.Tojson.', 'xml.Todom.', 'xml.Toselfdefined', 'xml.Toobfuscated', 'apache.Tocom.google.', 'apache.Toxml.', 'apache.Toapache.', 'apache.Tojavax.', 'apache.Tojava.', 'apache.Toandroid.', 'apache.Tojson.', 'apache.Todom.', 'apache.Toselfdefined', 'apache.Toobfuscated', 'javax.Tocom.google.', 'javax.Toxml.', 'javax.Toapache.', 'javax.Tojavax.', 'javax.Tojava.', 'javax.Toandroid.', 'javax.Tojson.', 'javax.Todom.', 'javax.Toselfdefined', 'javax.Toobfuscated', 'java.Tocom.google.', 'java.Toxml.', 'java.Toapache.', 'java.Tojavax.', 'java.Tojava.', 'java.Toandroid.', 'java.Tojson.', 'java.Todom.', 'java.Toselfdefined', 'java.Toobfuscated', 'android.Tocom.google.', 'android.Toxml.', 'android.Toapache.', 'android.Tojavax.', 'android.Tojava.', 'android.Toandroid.', 'android.Tojson.', 'android.Todom.', 'android.Toselfdefined', 'android.Toobfuscated', 'json.Tocom.google.', 'json.Toxml.', 'json.Toapache.', 'json.Tojavax.', 'json.Tojava.', 'json.Toandroid.', 'json.Tojson.', 'json.Todom.', 'json.Toselfdefined', 'json.Toobfuscated', 'dom.Tocom.google.', 'dom.Toxml.', 'dom.Toapache.', 'dom.Tojavax.', 'dom.Tojava.', 'dom.Toandroid.', 'dom.Tojson.', 'dom.Todom.', 'dom.Toselfdefined', 'dom.Toobfuscated', 'selfdefinedTocom.google.', 'selfdefinedToxml.', 'selfdefinedToapache.', 'selfdefinedTojavax.', 'selfdefinedTojava.', 'selfdefinedToandroid.', 'selfdefinedTojson.', 'selfdefinedTodom.', 'selfdefinedToselfdefined', 'selfdefinedToobfuscated', 'obfuscatedTocom.google.', 'obfuscatedToxml.', 'obfuscatedToapache.', 'obfuscatedTojavax.', 'obfuscatedTojava.', 'obfuscatedToandroid.', 'obfuscatedTojson.', 'obfuscatedTodom.', 'obfuscatedToselfdefined', 'obfuscatedToobfuscated']
['03E3100C9DAFFCD5A91BA2B505AE10BC96FAFAD24BCE22C75F4CF352E4718597.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.97777777777777775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9923017705927637, 0.0, 0.0, 0.0, 0.0, 0.0076982294072363358, 0.0, 0.0, 0.0, 0.0, 0.70854271356783916, 0.239770279971285, 0.0, 0.0, 0.0, 0.05168700646087581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00038483329235571424, 0.0, 0.0, 0.011470170074935594, 0.2613338749505596, 0.14019690636792201, 0.0, 0.0, 0.44327450372540006, 0.143339711588827, 0.0, 0.0, 0.0, 0.0, 0.054330708661417322, 0.3968503937007874, 0.0, 0.0, 0.48582677165354332, 0.062992125984251968]
['01AD7F9EE654C71BB8B0C78DC14B29A94571FCC4BDB31F9B98F38B502F52AEAE.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.97894736842105268, 0.0, 0.0, 0.0, 0.0, 0.021052631578947368, 0.0, 0.0, 0.0, 0.0, 0.6005586592178771, 0.32346368715083801, 0.0, 0.0, 0.0022346368715083797, 0.073743016759776542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6624777017492477e-05, 0.44295641524002238, 0.15048323970286748, 0.0, 0.0, 0.34676109587582205, 0.059772624404270613, 0.0, 0.0, 0.0, 0.0, 0.041333333333333333, 0.30559999999999998, 0.0, 0.0, 0.502, 0.15106666666666665]
['00D3EAC1A047CBBEA0B6E9374CEA2BDFD3FE6D6649F51D9532BA5AA98063E971.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99333333333333329, 0.0, 0.0, 0.0, 0.0, 0.0066666666666666671, 0.0, 0.0, 0.0, 0.0, 0.54166666666666663, 0.41346153846153844, 0.0, 0.0, 0.0, 0.044871794871794872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55885922330097082, 0.17839805825242719, 0.0, 0.0, 0.21571601941747573, 0.047026699029126214, 0.0, 0.0, 0.0, 0.0, 0.018867924528301886, 0.47169811320754718, 0.0, 0.0, 0.45283018867924529, 0.056603773584905662]
['02D090BD82BD63644CF9120E7C8337B5093CD39CD433F96E8EA13982BE416F8C.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48596112311015116, 0.42332613390928725, 0.0, 0.0, 0.0, 0.090712742980561561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29873300011623855, 0.25886318726025803, 0.0, 0.0, 0.3520864814599558, 0.090317331163547593, 0.0, 0.0, 0.0, 0.0, 0.12777777777777777, 0.28555555555555556, 0.0, 0.0, 0.4622222222222222, 0.12444444444444444]
['00A8D95639F978FB5B7CEE44B30248CDD0B27C2CB433E5153A9B7286A3CD2B9B.apk.txt', 0.46849087893864011, 0.0, 0.0, 0.0, 0.38640132669983418, 0.074626865671641784, 0.0, 0.0, 0.0024875621890547263, 0.067993366500829183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014285714285714285, 0.98571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99154135338345861, 0.0, 0.0, 0.0, 0.0, 0.0084586466165413529, 0.0, 0.0, 0.0, 0.0, 0.81087470449172572, 0.17257683215130024, 0.0, 0.0, 0.0, 0.016548463356973995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026502157795728672, 0.0, 0.0, 0.0092951200619674663, 0.35255062520748037, 0.22667920770167091, 0.0, 0.0, 0.33047471506030762, 0.054498174172844971, 0.018691588785046728, 0.0, 0.0, 0.0, 0.13551401869158877, 0.37383177570093457, 0.0, 0.0, 0.29439252336448596, 0.17757009345794392]
['03EA2ACAC4799091E8EB2B8BE125BBD50EE128F593E1BBF13640FB74CE236B53.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.58333333333333337, 0.41666666666666669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24957841483979765, 0.31365935919055649, 0.0, 0.0, 0.39629005059021921, 0.040472175379426642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36842105263157893, 0.0, 0.0, 0.46491228070175439, 0.16666666666666666]
['00C9600514885196C7418BACB79C0206C1546059C6CD05E280554401411FE213.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.63008130081300817, 0.35365853658536583, 0.0, 0.0, 0.0, 0.016260162601626018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31164510166358594, 0.33160813308687614, 0.0, 0.0, 0.26580406654343808, 0.09094269870609982, 0.0, 0.0, 0.0, 0.0, 0.08171206225680934, 0.36964980544747084, 0.0, 0.0, 0.49416342412451364, 0.054474708171206226]
['00584D78F21040C2AE5BD1C90A12F7FB48768D7DC2EA84AE4A522637988F3B7E.apk.txt', 0.32411528639182779, 0.0, 0.0, 0.0043049981758482309, 0.24122582998905509, 0.099306822327617658, 0.0, 0.0, 0.17504560379423567, 0.15600145932141554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016129032258064516, 0.9838709677419355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99090909090909096, 0.0, 0.0, 0.0, 0.0, 0.0090909090909090905, 0.0, 0.0, 0.0, 0.0, 0.63802208353336531, 0.30964954392702831, 0.0, 0.0, 0.0, 0.052328372539606337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04929758280453362, 0.0, 0.0, 0.0070547384122559269, 0.24396923791707931, 0.1761850615608456, 0.0, 0.0, 0.44156304637542948, 0.08193033292985609, 0.0, 0.0, 0.0, 0.0, 0.050608584240871238, 0.32415118513773222, 0.0, 0.0, 0.48910954516335681, 0.13613068545803972]
['0240A603DD81625F4A4C67C30E447460DC4703C5D60D2C9D1F640488480D0ACA.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43617021276595747, 0.56382978723404253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.51476793248945152, 0.41631504922644164, 0.0, 0.0, 0.057665260196905765, 0.011251758087201125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45454545454545453, 0.0, 0.0, 0.5, 0.045454545454545456]
['03B3342B913848FEDA4267587ED6F413DBA7E3530880C514AC3D1B5B64B80A7B.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.97999999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99131190269331015, 0.0, 0.0, 0.0, 0.0, 0.0086880973066898355, 0.0, 0.0, 0.0, 0.0, 0.70665009322560601, 0.24238657551274084, 0.0, 0.0, 0.0, 0.0509633312616532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0050719819387960224, 0.24526434613184062, 0.1794832145231873, 0.0, 0.0, 0.47613230450447663, 0.094048152901699419, 0.0, 0.0, 0.0, 0.0, 0.05624814485010389, 0.42579400415553575, 0.0, 0.0, 0.46274859008607894, 0.055209260908281391]
