['filename', 'com.google.Tocom.google.', 'com.google.Toxml.', 'com.google.Toapache.', 'com.google.Tojavax.', 'com.google.Tojava.', 'com.google.Toandroid.', 'com.google.Tojson.', 'com.google.Todom.', 'com.google.Toselfdefined', 'com.google.Toobfuscated', 'xml.Tocom.google.', 'xml.Toxml.', 'xml.Toapache.', 'xml.Tojavax.', 'xml.Tojava.', 'xml.Toandroid.', 'xml.Tojson.', 'xml.Todom.', 'xml.Toselfdefined', 'xml.Toobfuscated', 'apache.Tocom.google.', 'apache.Toxml.', 'apache.Toapache.', 'apache.Tojavax.', 'apache.Tojava.', 'apache.Toandroid.', 'apache.Tojson.', 'apache.Todom.', 'apache.Toselfdefined', 'apache.Toobfuscated', 'javax.Tocom.google.', 'javax.Toxml.', 'javax.Toapache.', 'javax.Tojavax.', 'javax.Tojava.', 'javax.Toandroid.', 'javax.Tojson.', 'javax.Todom.', 'javax.Toselfdefined', 'javax.Toobfuscated', 'java.Tocom.google.', 'java.Toxml.', 'java.Toapache.', 'java.Tojavax.', 'java.Tojava.', 'java.Toandroid.', 'java.Tojson.', 'java.Todom.', 'java.Toselfdefined', 'java.Toobfuscated', 'android.Tocom.google.', 'android.Toxml.', 'android.Toapache.', 'android.Tojavax.', 'android.Tojava.', 'android.Toandroid.', 'android.Tojson.', 'android.Todom.', 'android.Toselfdefined', 'android.Toobfuscated', 'json.Tocom.google.', 'json.Toxml.', 'json.Toapache.', 'json.Tojavax.', 'json.Tojava.', 'json.Toandroid.', 'json.Tojson.', 'json.Todom.', 'json.Toselfdefined', 'json.Toobfuscated', 'dom.Tocom.google.', 'dom.Toxml.', 'dom.Toapache.', 'dom.Tojavax.', 'dom.Tojava.', 'dom.Toandroid.', 'dom.Tojson.', 'dom.Todom.', 'dom.Toselfdefined', 'dom.Toobfuscated', 'selfdefinedTocom.google.', 'selfdefinedToxml.', 'selfdefinedToapache.', 'selfdefinedTojavax.', 'selfdefinedTojava.', 'selfdefinedToandroid.', 'selfdefinedTojson.', 'selfdefinedTodom.', 'selfdefinedToselfdefined', 'selfdefinedToobfuscated', 'obfuscatedTocom.google.', 'obfuscatedToxml.', 'obfuscatedToapache.', 'obfuscatedTojavax.', 'obfuscatedTojava.', 'obfuscatedToandroid.', 'obfuscatedTojson.', 'obfuscatedTodom.', 'obfuscatedToselfdefined', 'obfuscatedToobfuscated']
['B758E2BF7484A5DD6641C3ECD39DED5054AEEA37785A87247B7B488A24ABBFC8.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99289520426287747, 0.0, 0.0, 0.0, 0.0, 0.007104795737122558, 0.0, 0.0, 0.0, 0.0, 0.58084914182475156, 0.33785004516711836, 0.0, 0.0, 0.0, 0.081300813008130079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0045560557574442695, 0.32890383468026252, 0.30064544123230458, 0.0, 0.0, 0.28958073439279708, 0.076313933937191519, 0.0, 0.0, 0.0, 0.0, 0.014962593516209476, 0.46758104738154616, 0.0, 0.0, 0.4401496259351621, 0.077306733167082295]
['3415F74526C6EFE1C23A35AAA4F92D869C43CF0906E91EA1FCCC95AD5328F37F.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.59206510681586977, 0.32655137334689727, 0.0, 0.0, 0.0, 0.081383519837232965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0056003733582238816, 0.36162410827388491, 0.31262084138942597, 0.0, 0.0, 0.23408227215147676, 0.086072404826988469, 0.0, 0.0, 0.0, 0.0, 0.018518518518518517, 0.4521604938271605, 0.0, 0.0, 0.44135802469135804, 0.087962962962962965]
['4106DBFF3912B43C9E10365278679BBCCA81C18FDA1FC651AA8A2FA56ACD1372.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020833333333333332, 0.97916666666666663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.98837209302325579, 0.0, 0.0, 0.0, 0.0, 0.011627906976744186, 0.0, 0.0, 0.0, 0.0, 0.67168831168831167, 0.26181818181818184, 0.0, 0.0, 0.0, 0.066493506493506493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011217151386313266, 0.29390745850106292, 0.28187615903025914, 0.0, 0.0, 0.33117734859107151, 0.081821882491293144, 0.0, 0.0, 0.0, 0.0, 0.18462071354347073, 0.27433321787322479, 0.0, 0.0, 0.38517492206442672, 0.15587114651887773]
['98E140B8FE2274D2080BB215247E1F0DBB140673F34B30BC6C333C801600260A.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023529411764705882, 0.97647058823529409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99708029197080295, 0.0, 0.0, 0.0, 0.0, 0.0029197080291970801, 0.0, 0.0, 0.0, 0.0, 0.77680965147453085, 0.19168900804289543, 0.0, 0.0, 0.0, 0.031501340482573727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0099130082945579606, 0.25773821565850696, 0.14980406261005089, 0.0, 0.0, 0.46392579105506476, 0.11861892238181941, 0.0, 0.0, 0.0, 0.0, 0.040265350200555383, 0.30438136377661218, 0.0, 0.0, 0.53394014193150263, 0.12141314409132983]
['DBFFEDB493265A97DF0BD5A3BFC2A36AB15D5344EEE8BE652D41817968DD87EB.apk.txt', 0.26000000000000001, 0.0, 0.0, 0.0, 0.26666666666666666, 0.34333333333333332, 0.0, 0.0, 0.01, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07407407407407407, 0.92592592592592593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.98557158712541626, 0.0, 0.0, 0.0, 0.0, 0.014428412874583796, 0.0, 0.0, 0.0, 0.0, 0.5888665325285044, 0.32193158953722334, 0.0, 0.0, 0.0, 0.089201877934272297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0040593437394287925, 0.0, 0.0, 0.012129705697578892, 0.27178272845889917, 0.16561155946455322, 0.0, 0.0, 0.47088387377373991, 0.075532788865800032, 0.0074544450579790171, 0.0, 0.0, 0.0, 0.20513528437327444, 0.26090557702926559, 0.0, 0.0, 0.39757040309221425, 0.1289342904472667]
['8CADF35FEAC572A4101364E35B95BB60E0C9D7ABA2124B0F3BCAA2D22E125434.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1874062968515742, 0.4032983508245877, 0.25337331334332835, 0.0, 0.0, 0.011994002998500749, 0.14392803598200898, 0.0, 0.0, 0.0, 0.0, 0.99481865284974091, 0.0, 0.0, 0.0, 0.0, 0.0051813471502590676, 0.0, 0.0, 0.0, 0.0, 0.679372197309417, 0.26756352765321373, 0.0, 0.0, 0.0, 0.053064275037369206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018124150430448574, 0.0, 0.0, 0.017036701404621657, 0.33094698685999091, 0.12937622715601874, 0.0, 0.0, 0.4058299350551276, 0.11662890801993657, 0.00037817906778859789, 0.0, 0.0, 0.010116290063344994, 0.29393968043868773, 0.097948378557246862, 0.0, 0.0, 0.12829724874728185, 0.46932022312564997]
['2C0F4B0DFC915E35E00ACCB9027369B48A486B4A0703C77DDEB7E03337BF0BD5.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49545454545454548, 0.45000000000000001, 0.0, 0.0, 0.0, 0.054545454545454543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46462513199577615, 0.21224920802534319, 0.0, 0.0, 0.30623020063357975, 0.016895459345300949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31372549019607843, 0.0, 0.0, 0.60784313725490191, 0.078431372549019607]
['9933A8CF0255850E3E93D5E90E6F68F66561907551014B387A99871D259ED6DE.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023529411764705882, 0.97647058823529409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99708029197080295, 0.0, 0.0, 0.0, 0.0, 0.0029197080291970801, 0.0, 0.0, 0.0, 0.0, 0.77680965147453085, 0.19168900804289543, 0.0, 0.0, 0.0, 0.031501340482573727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0099130082945579606, 0.25773821565850696, 0.14980406261005089, 0.0, 0.0, 0.46392579105506476, 0.11861892238181941, 0.0, 0.0, 0.0, 0.0, 0.040265350200555383, 0.30438136377661218, 0.0, 0.0, 0.53394014193150263, 0.12141314409132983]
['FD9BA5A09E1431985D6B3AA72C1DA456FBE52788DDD1A2D55EB9189F5BDA8EB3.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.53872053872053871, 0.40067340067340068, 0.0, 0.0, 0.0, 0.060606060606060608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.9424768243403848e-05, 0.0, 0.0, 0.0041597337770382693, 0.058355122415022581, 0.011468980270976942, 0.0, 0.0, 0.50041597337770383, 0.42554076539101499, 0.0, 0.0, 0.0, 0.0031847133757961785, 0.32324840764331209, 0.24681528662420382, 0.0, 0.0, 0.060509554140127389, 0.36624203821656048]
['C9CC5ED2CE4212293500BA2FE7835A46B1C3EBA752BB7F9BC78765F29C7A1F6F.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.69851729818780894, 0.26194398682042835, 0.0, 0.0, 0.0, 0.039538714991762765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0050955414012738851, 0.37910828025477705, 0.23592356687898089, 0.0, 0.0, 0.31694267515923569, 0.062929936305732487, 0.0, 0.0, 0.0, 0.0, 0.050000000000000003, 0.46666666666666667, 0.0, 0.0, 0.45000000000000001, 0.033333333333333333]
