['filename', 'com.google.Tocom.google.', 'com.google.Toxml.', 'com.google.Toapache.', 'com.google.Tojavax.', 'com.google.Tojava.', 'com.google.Toandroid.', 'com.google.Tojson.', 'com.google.Todom.', 'com.google.Toselfdefined', 'com.google.Toobfuscated', 'xml.Tocom.google.', 'xml.Toxml.', 'xml.Toapache.', 'xml.Tojavax.', 'xml.Tojava.', 'xml.Toandroid.', 'xml.Tojson.', 'xml.Todom.', 'xml.Toselfdefined', 'xml.Toobfuscated', 'apache.Tocom.google.', 'apache.Toxml.', 'apache.Toapache.', 'apache.Tojavax.', 'apache.Tojava.', 'apache.Toandroid.', 'apache.Tojson.', 'apache.Todom.', 'apache.Toselfdefined', 'apache.Toobfuscated', 'javax.Tocom.google.', 'javax.Toxml.', 'javax.Toapache.', 'javax.Tojavax.', 'javax.Tojava.', 'javax.Toandroid.', 'javax.Tojson.', 'javax.Todom.', 'javax.Toselfdefined', 'javax.Toobfuscated', 'java.Tocom.google.', 'java.Toxml.', 'java.Toapache.', 'java.Tojavax.', 'java.Tojava.', 'java.Toandroid.', 'java.Tojson.', 'java.Todom.', 'java.Toselfdefined', 'java.Toobfuscated', 'android.Tocom.google.', 'android.Toxml.', 'android.Toapache.', 'android.Tojavax.', 'android.Tojava.', 'android.Toandroid.', 'android.Tojson.', 'android.Todom.', 'android.Toselfdefined', 'android.Toobfuscated', 'json.Tocom.google.', 'json.Toxml.', 'json.Toapache.', 'json.Tojavax.', 'json.Tojava.', 'json.Toandroid.', 'json.Tojson.', 'json.Todom.', 'json.Toselfdefined', 'json.Toobfuscated', 'dom.Tocom.google.', 'dom.Toxml.', 'dom.Toapache.', 'dom.Tojavax.', 'dom.Tojava.', 'dom.Toandroid.', 'dom.Tojson.', 'dom.Todom.', 'dom.Toselfdefined', 'dom.Toobfuscated', 'selfdefinedTocom.google.', 'selfdefinedToxml.', 'selfdefinedToapache.', 'selfdefinedTojavax.', 'selfdefinedTojava.', 'selfdefinedToandroid.', 'selfdefinedTojson.', 'selfdefinedTodom.', 'selfdefinedToselfdefined', 'selfdefinedToobfuscated', 'obfuscatedTocom.google.', 'obfuscatedToxml.', 'obfuscatedToapache.', 'obfuscatedTojavax.', 'obfuscatedTojava.', 'obfuscatedToandroid.', 'obfuscatedTojson.', 'obfuscatedTodom.', 'obfuscatedToselfdefined', 'obfuscatedToobfuscated']
['00899A2C7DBD3212C6ABE50FBCE3F12968045A31115055374355C9DD1C710C66.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.74588235294117644, 0.23529411764705882, 0.0, 0.0, 0.0, 0.018823529411764704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015438054805094559, 0.29100733307603244, 0.22771130837514472, 0.0, 0.0, 0.37668853724430723, 0.10304901582400618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38207547169811323, 0.0, 0.0, 0.49528301886792453, 0.12264150943396226]
['004E50DF80BA62520CAEDA72E19653227F7CD1EDE5B1815EED8025D707F2856D.apk.txt', 0.27071072883657765, 0.0, 0.0, 0.012675418741511997, 0.38162064282480762, 0.24852874603893163, 0.0, 0.0, 0.053870529651425983, 0.032593933906745136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027027027027027029, 0.97297297297297303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99753694581280783, 0.0, 0.0, 0.0, 0.0, 0.0024630541871921183, 0.0, 0.0, 0.0, 0.0, 0.7558139534883721, 0.20572450805008943, 0.0, 0.0, 0.0, 0.038461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059596767030819786, 0.0, 0.0, 0.01056932231992184, 0.33670841104893862, 0.29816147082334132, 0.0, 0.0, 0.14086508570921041, 0.154098943067768, 0.01090909090909091, 0.0, 0.0, 0.0, 0.11636363636363636, 0.32000000000000001, 0.0, 0.0, 0.25090909090909091, 0.30181818181818182]
['05D9C58592429AE44622BC2346DFD92405896C678ED3934E60CBC7FBAA22944C.apk.txt', 0.29720590852464851, 0.0, 0.0, 0.0065848015661149669, 0.35362164086136322, 0.14806905143263926, 0.0, 0.0, 0.072788752447054642, 0.12172984516817939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023809523809523808, 0.97619047619047616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.77428057553956831, 0.19334532374100719, 0.0, 0.0, 0.0, 0.03237410071942446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016629157289322332, 0.0, 0.0, 0.003875968992248062, 0.35308827206801702, 0.28794698674668667, 0.0, 0.0, 0.30420105026256566, 0.03425856464116029, 0.0, 0.0, 0.0, 0.0, 0.048095238095238094, 0.33500000000000002, 0.0, 0.0, 0.50619047619047619, 0.11071428571428571]
['005960AAE48239B41F89B408BEFD44E3F3B01D5195ED815378F545A524C31483.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99193548387096775, 0.0, 0.0, 0.0, 0.0, 0.0080645161290322578, 0.0, 0.0, 0.0, 0.0, 0.46766169154228854, 0.43283582089552236, 0.0, 0.0, 0.0, 0.09950248756218906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00030809520141723791, 0.33397519833628592, 0.380035430948163, 0.0, 0.0, 0.24994223214973427, 0.035739043364399599, 0.0, 0.0, 0.0, 0.0, 0.012317167051578136, 0.42994611239414937, 0.0, 0.0, 0.47421093148575827, 0.083525789068514239]
['07342F13B23A50D00B4A1951C751527A37916C12E484621C3CD78A9409469F92.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.50920245398773001, 0.44171779141104295, 0.0, 0.0, 0.0, 0.049079754601226995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42887931034482757, 0.29956896551724138, 0.0, 0.0, 0.21767241379310345, 0.053879310344827583, 0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.40476190476190477, 0.0, 0.0, 0.52380952380952384, 0.023809523809523808]
['00646C7F05F094314B738E2AC420CD87847EFE0649AE45AB3D77C55A5EB4EFA1.apk.txt', 0.27807172251616696, 0.0, 0.0, 0.0, 0.51205173427395645, 0.13932980599647266, 0.0, 0.0, 0.017048794826572605, 0.053497942386831275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027027027027027029, 0.97297297297297303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99637681159420288, 0.0, 0.0, 0.0, 0.0, 0.0036231884057971015, 0.0, 0.0, 0.0, 0.0, 0.76000000000000001, 0.19448275862068964, 0.0, 0.0, 0.0, 0.045517241379310347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03029490616621984, 0.0, 0.0, 0.0082573726541554961, 0.30428954423592491, 0.32563002680965147, 0.0, 0.0, 0.18021447721179626, 0.15131367292225201, 0.028753993610223641, 0.0, 0.0, 0.0, 0.035143769968051117, 0.37380191693290737, 0.0, 0.0, 0.41373801916932906, 0.1485623003194888]
['034A6B703A9411FAF0410B959D8B42A11F9425838FE3F4018290076CA8B20933.apk.txt', 0.25084745762711863, 0.0, 0.0, 0.0, 0.26779661016949152, 0.34915254237288135, 0.0, 0.0, 0.010169491525423728, 0.12203389830508475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.50564971751412424, 0.41807909604519772, 0.0, 0.0, 0.0, 0.076271186440677971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3340832395950506, 0.2879640044994376, 0.0, 0.0, 0.28683914510686165, 0.091113610798650171, 0.056872037914691941, 0.0, 0.0, 0.0, 0.35071090047393366, 0.23696682464454977, 0.0, 0.0, 0.16587677725118483, 0.1895734597156398]
['018304E2FCE97D436C127C405A48DF94F0BE5B7E14EEC5A2AAC34F26E65D7EB3.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47606382978723405, 0.42021276595744683, 0.0, 0.0, 0.0, 0.10372340425531915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0041958041958041958, 0.41258741258741261, 0.36783216783216782, 0.0, 0.0, 0.15524475524475526, 0.060139860139860141, 0.0, 0.0, 0.0, 0.0, 0.024291497975708502, 0.44129554655870445, 0.0, 0.0, 0.41295546558704455, 0.1214574898785425]
['06562BBC30CA4A68619578180DC5F1370E8CE490A6E614B45F32AA2345131EE9.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99331662489557226, 0.0, 0.0, 0.0, 0.0, 0.0066833751044277356, 0.0, 0.0, 0.0, 0.0, 0.74981329350261394, 0.1941747572815534, 0.0, 0.0, 0.0, 0.056011949215832711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0046375847606378064, 0.28961809212349648, 0.096077453208432639, 0.0, 0.0, 0.46817434362470667, 0.14149252628272638, 0.0, 0.0, 0.0, 0.0, 0.41887905604719766, 0.23893805309734514, 0.0, 0.0, 0.27433628318584069, 0.067846607669616518]
['0409CB241AFE5952B6DEBBB49B1EF661EED76941F5A266DD7CACA2B2160FC141.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3522012578616352, 0.56603773584905659, 0.0, 0.0, 0.0, 0.081761006289308172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002257336343115124, 0.26636568848758463, 0.53273137697516926, 0.0, 0.0, 0.16478555304740405, 0.033860045146726865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46666666666666667, 0.0, 0.0, 0.40000000000000002, 0.13333333333333333]
