152	164	6973	7289	635	1182	51694	53511
5	46	65	116	7	121	152	280
0.0329	0.2805	0.0093	0.0159	0.011	0.1024	0.0029	0.0052
75	1567	7775	9417	205	9974	59229	69408
3	4	187	194	8	14	481	503
0.04	0.0026	0.0241	0.0206	0.039	0.0014	0.0081	0.0072
415	417	4436	5268	1870	2192	41424	45486
31	106	266	403	78	387	841	1306
0.0747	0.2542	0.06	0.0765	0.0417	0.1766	0.0203	0.0287
152	164	6973	7289	635	1182	51694	53511
5	44	62	111	6	116	141	263
0.0329	0.2683	0.0089	0.0152	0.0094	0.0981	0.0027	0.0049
18	0	2274	2292	23	0	24752	24775
2	0	13	15	6	0	25	31
0.1111	0	0.0057	0.0065	0.2609	0	0.001	0.0013
610	1414	4734	6758	2679	8336	42040	53055
16	110	116	242	48	414	306	768
0.0262	0.0778	0.0245	0.0358	0.0179	0.0497	0.0073	0.0145
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
55	239	1616	1910	218	4363	17823	22404
28	75	73	176	148	248	183	579
0.5091	0.3138	0.0452	0.0921	0.6789	0.0568	0.0103	0.0258
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
94	1875	4684	6653	362	10751	39285	50398
1	6	17	24	1	15	30	46
0.0106	0.0032	0.0036	0.0036	0.0028	0.0014	0.0008	0.0009
173	86	2271	2530	983	408	25239	26630
45	7	264	316	186	19	1344	1549
0.2601	0.0814	0.1162	0.1249	0.1892	0.0466	0.0533	0.0582
149	4	830	983	712	33	12047	12792
54	3	101	158	217	23	299	539
0.3624	0.75	0.1217	0.1607	0.3048	0.697	0.0248	0.0421
54	67	2632	2753	158	503	27403	28064
18	20	85	123	46	151	215	412
0.3333	0.2985	0.0323	0.0447	0.2911	0.3002	0.0078	0.0147
914	2621	5132	8667	4742	15832	41331	61905
1	51	43	95	3	90	70	163
0.0011	0.0195	0.0084	0.011	0.0006	0.0057	0.0017	0.0026
69	338	3237	3644	368	2024	28012	30404
28	51	286	365	76	209	845	1130
0.4058	0.1509	0.0884	0.1002	0.2065	0.1033	0.0302	0.0372
58	513	1859	2430	268	3721	19520	23509
7	0	142	149	14	0	404	418
0.1207	0	0.0764	0.0613	0.0522	0	0.0207	0.0178
19	0	2272	2291	27	0	24742	24769
3	0	8	11	8	0	17	25
0.1579	0	0.0035	0.0048	0.2963	0	0.0007	0.001
124	63	7597	7784	425	702	57441	58568
