152	164	6973	7289	635	1182	51694	53511
1	11	19	31	2	33	39	74
0.0066	0.0671	0.0027	0.0043	0.0031	0.0279	0.0008	0.0014
14	158	1606	1778	15	1310	17351	18676
1	7	258	266	2	16	952	970
0.0714	0.0443	0.1606	0.1496	0.1333	0.0122	0.0549	0.0519
75	1567	7775	9417	205	9974	59229	69408
3	4	187	194	8	14	481	503
0.04	0.0026	0.0241	0.0206	0.039	0.0014	0.0081	0.0072
17	1045	2110	3172	18	6646	22760	29424
0	46	69	115	0	262	194	456
0	0.044	0.0327	0.0363	0	0.0394	0.0085	0.0155
415	417	4436	5268	1870	2192	41424	45486
49	175	316	540	145	700	1087	1932
0.1181	0.4197	0.0712	0.1025	0.0775	0.3193	0.0262	0.0425
17	19	3891	3927	20	94	32792	32906
1	11	180	192	2	26	709	737
0.0588	0.5789	0.0463	0.0489	0.1	0.2766	0.0216	0.0224
9	1	2217	2227	10	6	22841	22857
1	0	120	121	2	0	540	542
0.1111	0	0.0541	0.0543	0.2	0	0.0236	0.0237
232	1480	5467	7179	1161	8878	45731	55770
3	0	117	120	7	0	332	339
0.0129	0	0.0214	0.0167	0.006	0	0.0073	0.0061
152	164	6973	7289	635	1182	51694	53511
4	46	67	117	5	125	155	285
0.0263	0.2805	0.0096	0.0161	0.0079	0.1058	0.003	0.0053
16	155	1339	1510	38	1318	15832	17188
3	7	154	164	8	10	643	661
0.1875	0.0452	0.115	0.1086	0.2105	0.0076	0.0406	0.0385
18	0	2274	2292	23	0	24752	24775
2	0	15	17	6	0	28	34
0.1111	0	0.0066	0.0074	0.2609	0	0.0011	0.0014
610	1414	4734	6758	2679	8336	42040	53055
15	260	168	443	50	901	452	1403
0.0246	0.1839	0.0355	0.0656	0.0187	0.1081	0.0108	0.0264
523	170	2580	3273	2642	1973	25878	30493
6	10	39	55	23	23	92	138
0.0115	0.0588	0.0151	0.0168	0.0087	0.0117	0.0036	0.0045
610	1414	4734	6758	2679	8336	42040	53055
23	202	153	378	60	676	398	1134
0.0377	0.1429	0.0323	0.0559	0.0224	0.0811	0.0095	0.0214
