152	164	6973	7289	635	1182	51694	53511
4	25	63	92	5	77	119	201
0.0263	0.1524	0.009	0.0126	0.0079	0.0651	0.0023	0.0038
14	158	1606	1778	15	1310	17351	18676
1	8	256	265	2	17	927	946
0.0714	0.0506	0.1594	0.149	0.1333	0.013	0.0534	0.0507
75	1567	7775	9417	205	9974	59229	69408
3	4	187	194	8	14	481	503
0.04	0.0026	0.0241	0.0206	0.039	0.0014	0.0081	0.0072
17	1045	2110	3172	18	6646	22760	29424
0	44	68	112	0	242	187	429
0	0.0421	0.0322	0.0353	0	0.0364	0.0082	0.0146
415	417	4436	5268	1870	2192	41424	45486
24	103	157	284	56	364	448	868
0.0578	0.247	0.0354	0.0539	0.0299	0.1661	0.0108	0.0191
17	19	3891	3927	20	94	32792	32906
1	11	255	267	2	29	964	995
0.0588	0.5789	0.0655	0.068	0.1	0.3085	0.0294	0.0302
9	1	2217	2227	10	6	22841	22857
1	0	123	124	2	0	535	537
0.1111	0	0.0555	0.0557	0.2	0	0.0234	0.0235
232	1480	5467	7179	1161	8878	45731	55770
3	0	114	117	7	0	309	316
0.0129	0	0.0209	0.0163	0.006	0	0.0068	0.0057
152	164	6973	7289	635	1182	51694	53511
5	28	64	97	7	86	133	226
0.0329	0.1707	0.0092	0.0133	0.011	0.0728	0.0026	0.0042
16	155	1339	1510	38	1318	15832	17188
3	7	154	164	8	10	645	663
0.1875	0.0452	0.115	0.1086	0.2105	0.0076	0.0407	0.0386
18	0	2274	2292	23	0	24752	24775
2	0	15	17	6	0	28	34
0.1111	0	0.0066	0.0074	0.2609	0	0.0011	0.0014
610	1414	4734	6758	2679	8336	42040	53055
12	77	67	156	40	259	148	447
0.0197	0.0545	0.0142	0.0231	0.0149	0.0311	0.0035	0.0084
523	170	2580	3273	2642	1973	25878	30493
6	10	42	58	23	24	98	145
0.0115	0.0588	0.0163	0.0177	0.0087	0.0122	0.0038	0.0048
610	1414	4734	6758	2679	8336	42040	53055
17	214	164	395	49	713	443	1205
0.0279	0.1513	0.0346	0.0584	0.0183	0.0855	0.0105	0.0227
