20	3222	3428	6670	22	22735	35457	58214
1	6	32	39	1	9	67	77
0.05	0.0019	0.0093	0.0058	0.0455	0.0004	0.0019	0.0013
99	3898	2148	6145	573	25815	23822	50210
0	8	13	21	0	22	25	47
0	0.0021	0.0061	0.0034	0	0.0009	0.001	0.0009
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
55	239	1616	1910	218	4363	17823	22404
22	0	54	76	113	0	134	247
0.4	0	0.0334	0.0398	0.5183	0	0.0075	0.011
221	1096	4255	5572	1180	6291	34234	41705
11	2	171	184	23	3	461	487
0.0498	0.0018	0.0402	0.033	0.0195	0.0005	0.0135	0.0117
446	668	5319	6433	2959	4297	44474	51730
17	101	260	378	40	415	827	1282
0.0381	0.1512	0.0489	0.0588	0.0135	0.0966	0.0186	0.0248
94	1875	4684	6653	362	10751	39285	50398
1	6	17	24	1	15	30	46
0.0106	0.0032	0.0036	0.0036	0.0028	0.0014	0.0008	0.0009
381	62	2984	3427	2695	643	31012	34350
68	9	312	389	231	26	1076	1333
0.1785	0.1452	0.1046	0.1135	0.0857	0.0404	0.0347	0.0388
13	15	3487	3515	14	56	29406	29476
0	2	157	159	0	3	426	429
0	0.1333	0.045	0.0452	0	0.0536	0.0145	0.0146
0	905	1369	2274	0	6922	17122	24044
0	200	186	386	0	893	787	1680
0	0.221	0.1359	0.1697	0	0.129	0.046	0.0699
173	86	2271	2530	983	408	25239	26630
30	7	242	279	123	19	1232	1374
0.1734	0.0814	0.1066	0.1103	0.1251	0.0466	0.0488	0.0516
534	426	3422	4382	4418	2562	30990	37970
10	0	107	117	21	0	217	238
0.0187	0	0.0313	0.0267	0.0048	0	0.007	0.0063
34	918	1364	2316	109	6303	16897	23309
1	9	16	26	2	26	22	50
0.0294	0.0098	0.0117	0.0112	0.0183	0.0041	0.0013	0.0021
149	4	830	983	712	33	12047	12792
55	3	94	152	221	17	290	528
0.3691	0.75	0.1133	0.1546	0.3104	0.5152	0.0241	0.0413
0	863	4597	5460	0	6343	39992	46335
0	38	36	74	0	104	88	192
0	0.044	0.0078	0.0136	0	0.0164	0.0022	0.0041
376	1293	5502	7171	2368	9220	45022	56610
1	3	51	55	2	6	120	128
0.0027	0.0023	0.0093	0.0077	0.0008	0.0007	0.0027	0.0023
235	1454	8864	10553	1123	7761	64188	73072
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	2400	5179	7579	0	13607	43803	57410
0	42	40	82	0	75	64	139
0	0.0175	0.0077	0.0108	0	0.0055	0.0015	0.0024
112	327	3967	4406	521	3210	28626	32357
24	10	100	134	61	34	256	351
0.2143	0.0306	0.0252	0.0304	0.1171	0.0106	0.0089	0.0108
329	1296	7896	9521	2108	11708	57982	71798
20	38	80	138	59	141	188	388
0.0608	0.0293	0.0101	0.0145	0.028	0.012	0.0032	0.0054
0	622	7307	7929	0	4003	47445	51448
0	12	20	32	0	23	40	63
0	0.0193	0.0027	0.004	0	0.0057	0.0008	0.0012
329	1296	7896	9521	2108	11708	57982	71798
20	38	80	138	56	136	185	377
0.0608	0.0293	0.0101	0.0145	0.0266	0.0116	0.0032	0.0053
516	1356	7153	9025	3229	10100	52996	66325
7	24	51	82	15	101	100	216
0.0136	0.0177	0.0071	0.0091	0.0046	0.01	0.0019	0.0033
329	1296	7896	9521	2108	11708	57982	71798
20	41	82	143	63	154	199	416
0.0608	0.0316	0.0104	0.015	0.0299	0.0132	0.0034	0.0058
21	219	3062	3302	23	1487	30744	32254
0	26	108	134	0	131	278	409
0	0.1187	0.0353	0.0406	0	0.0881	0.009	0.0127
331	351	7327	8009	1916	1875	55058	58849
4	35	68	107	14	103	162	279
0.0121	0.0997	0.0093	0.0134	0.0073	0.0549	0.0029	0.0047
13	222	4185	4420	15	1243	33898	35156
1	6	223	230	2	29	778	809
0.0769	0.027	0.0533	0.052	0.1333	0.0233	0.023	0.023
79	0	1896	1975	515	0	20580	21095
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	1881	2404	4285	0	11698	25258	36956
0	47	35	82	0	83	56	139
0	0.025	0.0146	0.0191	0	0.0071	0.0022	0.0038
173	235	4152	4560	920	1113	35324	37357
11	17	55	83	27	35	117	179
0.0636	0.0723	0.0132	0.0182	0.0293	0.0314	0.0033	0.0048
110	1340	2659	4109	615	8807	28240	37662
29	265	149	443	126	1072	467	1665
0.2636	0.1978	0.056	0.1078	0.2049	0.1217	0.0165	0.0442
54	67	2632	2753	158	503	27403	28064
16	18	83	117	36	145	218	399
0.2963	0.2687	0.0315	0.0425	0.2278	0.2883	0.008	0.0142
81	445	1607	2133	338	2414	17473	20225
57	154	96	307	143	499	250	892
0.7037	0.3461	0.0597	0.1439	0.4231	0.2067	0.0143	0.0441
329	1296	7896	9521	2108	11708	57982	71798
20	42	82	144	64	158	200	422
0.0608	0.0324	0.0104	0.0151	0.0304	0.0135	0.0034	0.0059
0	375	1630	2005	0	1636	17953	19589
0	46	127	173	0	75	295	370
0	0.1227	0.0779	0.0863	0	0.0458	0.0164	0.0189
527	525	3951	5003	3034	4147	36040	43221
88	17	396	501	361	51	1777	2189
0.167	0.0324	0.1002	0.1001	0.119	0.0123	0.0493	0.0506
12	69	3058	3139	77	400	28010	28487
3	11	258	272	5	18	752	775
0.25	0.1594	0.0844	0.0867	0.0649	0.045	0.0268	0.0272
914	2621	5132	8667	4742	15832	41331	61905
1	51	43	95	3	90	70	163
0.0011	0.0195	0.0084	0.011	0.0006	0.0057	0.0017	0.0026
402	666	3230	4298	2157	4269	30024	36450
1	0	44	45	2	0	111	113
0.0025	0	0.0136	0.0105	0.0009	0	0.0037	0.0031
329	1296	7896	9521	2108	11708	57982	71798
20	43	81	144	56	159	190	405
0.0608	0.0332	0.0103	0.0151	0.0266	0.0136	0.0033	0.0056
69	338	3237	3644	368	2024	28012	30404
9	35	122	166	21	84	289	394
0.1304	0.1036	0.0377	0.0456	0.0571	0.0415	0.0103	0.013
16	259	1645	1920	17	1614	17873	19504
1	6	130	137	2	9	533	544
0.0625	0.0232	0.079	0.0714	0.1176	0.0056	0.0298	0.0279
58	513	1859	2430	268	3721	19520	23509
41	138	289	468	209	467	1159	1835
0.7069	0.269	0.1555	0.1926	0.7799	0.1255	0.0594	0.0781
19	0	2272	2291	27	0	24742	24769
3	0	9	12	9	0	21	30
0.1579	0	0.004	0.0052	0.3333	0	0.0008	0.0012
151	1193	4582	5926	558	6538	36817	43913
29	105	355	489	82	305	938	1325
0.1921	0.088	0.0775	0.0825	0.147	0.0467	0.0255	0.0302
0	2997	6012	9009	0	23283	49738	73021
0	32	119	151	0	103	267	370
0	0.0107	0.0198	0.0168	0	0.0044	0.0054	0.0051
0	958	2141	3099	0	7916	23572	31488
0	4	9	13	0	12	11	23
0	0.0042	0.0042	0.0042	0	0.0015	0.0005	0.0007
19	3108	5491	8618	20	24314	50479	74813
0	95	228	323	0	269	616	885
0	0.0306	0.0415	0.0375	0	0.0111	0.0122	0.0118
124	63	7597	7784	425	702	57441	58568
7	2	20	29	11	3	36	50
0.0565	0.0317	0.0026	0.0037	0.0259	0.0043	0.0006	0.0009
125	0	1167	1292	622	0	14098	14720
23	0	79	102	65	0	186	251
0.184	0	0.0677	0.0789	0.1045	0	0.0132	0.0171
8	128	987	1123	9	1242	13073	14324
1	5	130	136	2	7	509	518
0.125	0.0391	0.1317	0.1211	0.2222	0.0056	0.0389	0.0362
344	1074	3513	4931	1239	5297	29603	36139
9	45	30	84	16	73	69	158
0.0262	0.0419	0.0085	0.017	0.0129	0.0138	0.0023	0.0044
95	677	7708	8480	410	3805	56474	60689
5	11	26	42	7	22	41	70
0.0526	0.0162	0.0034	0.005	0.0171	0.0058	0.0007	0.0012
19	4668	4891	9578	20	18912	35102	54034
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
151	1193	4582	5926	558	6538	36817	43913
12	37	65	114	38	79	152	269
0.0795	0.031	0.0142	0.0192	0.0681	0.0121	0.0041	0.0061
374	165	1558	2097	1632	1023	16817	19472
6	4	68	78	10	7	119	136
0.016	0.0242	0.0436	0.0372	0.0061	0.0068	0.0071	0.007
210	1254	4255	5719	748	9351	37784	47883
21	42	384	447	42	64	1276	1382
0.1	0.0335	0.0902	0.0782	0.0561	0.0068	0.0338	0.0289
18	33	3822	3873	20	250	32112	32382
1	6	131	138	2	17	588	607
0.0556	0.1818	0.0343	0.0356	0.1	0.068	0.0183	0.0187
16	2747	3439	6202	17	19242	33345	52604
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
18	33	1069	1120	75	219	13517	13811
16	15	177	208	50	63	674	787
0.8889	0.4545	0.1656	0.1857	0.6667	0.2877	0.0499	0.057
0	4916	4227	9143	0	28738	36798	65536
0	51	130	181	0	95	344	439
0	0.0104	0.0308	0.0198	0	0.0033	0.0093	0.0067
75	1414	3230	4719	291	7575	26854	34720
1	14	17	32	3	37	27	67
0.0133	0.0099	0.0053	0.0068	0.0103	0.0049	0.001	0.0019
17	788	8832	9637	18	5075	64328	69421
0	10	177	187	0	24	498	522
0	0.0127	0.02	0.0194	0	0.0047	0.0077	0.0075
446	343	4086	4875	3279	3289	42044	48612
56	1	348	405	222	1	1388	1611
0.1256	0.0029	0.0852	0.0831	0.0677	0.0003	0.033	0.0331
7	136	967	1110	8	1236	12882	14126
1	6	124	131	2	8	464	474
0.1429	0.0441	0.1282	0.118	0.25	0.0065	0.036	0.0336
70	1028	4065	5163	252	5425	39709	45386
31	147	371	549	116	519	1643	2278
0.4429	0.143	0.0913	0.1063	0.4603	0.0957	0.0414	0.0502
0	5948	3698	9646	0	36177	33664	69841
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
48	7	2324	2379	151	32	21863	22046
2	0	101	103	3	0	263	266
0.0417	0	0.0435	0.0433	0.0199	0	0.012	0.0121
45	810	5211	6066	163	4274	43203	47640
3	1	73	77	5	1	172	178
0.0667	0.0012	0.014	0.0127	0.0307	0.0002	0.004	0.0037
331	351	7327	8009	1916	1875	55058	58849
4	35	67	106	14	103	162	279
0.0121	0.0997	0.0091	0.0132	0.0073	0.0549	0.0029	0.0047
158	290	7382	7830	757	2015	56288	59060
12	11	261	284	31	63	848	942
0.0759	0.0379	0.0354	0.0363	0.041	0.0313	0.0151	0.0159
0	543	6666	7209	0	2821	47694	50515
0	77	326	403	0	289	1477	1766
0	0.1418	0.0489	0.0559	0	0.1024	0.031	0.035
241	334	3119	3694	1554	1815	30106	33475
41	121	455	617	215	576	1887	2678
0.1701	0.3623	0.1459	0.167	0.1384	0.3174	0.0627	0.08
19	1106	2768	3893	136	7765	26294	34195
0	149	230	379	0	583	626	1209
